,phylum,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Acanthocephala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035071531191594715,,,,0.015410168209838634,,,,,,,,,,,,,,,,
1,Annelida,0.187788401205197,0.14586499149789456,,0.4146981098256822,0.35255323755531515,0.24128650621655529,0.039103094350288754,0.280305955290694,,0.11840055569457876,0.25873849094126034,0.15511170426414927,0.03384487217112064,,0.10961198579846967,0.11691086361748593,,,0.042295493443781355,0.029358090886453237,0.06921381787381932,0.20876536997190606,0.036973693332326786,0.15309310892394862,0.15476464650682736,0.13430685557461491,0.11561696236277867,0.06721660724223312,,0.13023908978822993,0.10482848367219183,0.14774272084184678,0.12246683320126191,0.11090591959507848,0.058967942353618415,0.0576979232259352,0.045899254602157845,0.043586537761609034,,,0.05592250781321539,1.0,0.6324555320336759,0.5735054965493106,1.0,0.4430143138127601,0.12053151055354618,0.15546441486729434,0.33191789877230743,0.5736133349779415,0.5050992820605084,0.7844645405527362,0.15797289868880232,0.16012815380508713
2,Apicomplexa,0.07097734409876762,0.2228124549277306,,0.09215513551681828,0.16807316136320358,0.21099892877738852,0.07820618870057751,0.1543033499620919,0.13834289277321493,0.15285446012893575,0.14463921353509293,0.052066740268841255,0.03384487217112064,0.05047544651250688,0.0706452960629549,0.06788981761869789,0.10241831129983783,0.07894736842105263,0.05322066214310479,0.061474295771824686,0.06333004963811237,0.04789406055886417,0.04528334128517262,0.061600672538072644,0.049391955962654596,0.02374232208416312,0.0252296896022997,0.17783842673645195,0.1414213562373095,0.07853712615726657,0.16239958858823003,0.09713542507299845,0.11455723277057846,,0.03462716805322218,0.048334001286994305,,0.0462305046295159,0.04825234406533808,,0.1077765538265546,0.036787668878061563,0.1,0.14369748623974749,0.0367835207505321,0.16272599908685828,0.09841356626102458,,0.1426148065624585,0.16064386578049977,0.15092727811824552,0.09607689228305229,0.10341753799900383,0.05661385170722979
3,Arthropoda,0.49936988002690513,0.6789645850863051,,0.547140802102019,0.5773502691896257,0.6356961452149099,0.17919288976719827,0.2845213189769458,0.27668578554642986,0.11840055569457876,0.21453462331873255,0.19654763430699795,0.12663591596349333,0.17845765256206242,1.0,0.8385195684964248,0.07822327734684298,,0.9809606720918107,1.0,0.24322367074504733,0.26666284357086684,0.10125662936196866,0.30944939581687436,0.3883419783217588,0.08883563480537501,0.14272067684014278,0.3349608860460022,0.2,0.184185887129642,0.14064216928154863,0.31553675185113533,0.2683113883622151,0.09919727012868858,0.17348176636577944,0.10753636416596608,0.06491134836118732,0.8698217539462271,0.12766370257280793,0.13008872711759817,0.905184866527945,0.11584708930178393,0.5019960159204453,0.3878691504568341,0.11583402654148962,0.5007782105876581,0.49452205017711814,0.6456922091856314,0.22549380840084865,0.2341766633920198,0.1848474098284132,0.34641016151377546,0.6361089380799246,0.42742520713255516
4,Ascomycota,0.13278645192037483,,,0.06516352124510746,,0.05852057359806528,0.039103094350288754,0.1690308509457033,0.22941573387056177,0.06835859270246632,0.250522466609585,0.909306526908285,0.06768974434224127,0.05047544651250688,0.0560564806274236,0.03565747911603346,,0.0455802844097073,0.032303716710272753,0.02574874904350842,0.05781216125786003,0.07342020455241152,0.10125662936196866,0.16366341767699427,0.16108415127632875,0.05815657441501209,0.0873982085007506,0.1477746574944106,0.1414213562373095,,0.19043039742576884,0.08306886635937218,0.09551889612825468,0.0607456739230787,0.0789620921101238,0.08846574777492931,0.07495316889958614,0.07061826229358767,0.090271869800615,0.08770580193070292,0.14995655861392937,,0.07745966692414834,0.038404768632128425,,,,0.10992994198586255,0.1426148065624585,0.11359236684941296,0.10672170182343944,0.09607689228305229,0.17407765595569785,0.14978617237881953
5,Bacillariophyta,0.37220833255202485,0.33686076842660756,0.09712858623572641,0.5662106320355955,0.5314940034527339,1.0,1.0,0.20701966780270625,0.16943474841747153,0.26475169110682795,0.22407410609198133,,0.04786387724118254,0.07980868844676221,0.10705259819377094,0.09765202827810449,0.02956561979945413,0.08321783316232577,0.17310176724888438,0.10427448617860192,0.48311507765036626,0.5359000819270153,0.12808063079012125,0.3276676234060537,0.3626496219234419,0.11631314883002418,0.09440085446645838,0.4567103429411224,0.1414213562373095,0.40619717496541546,0.25677629550654774,0.4605244892931306,0.42950778850033927,0.08590735591751156,0.3783721285003684,0.3764160663639867,0.0955469177061514,0.495886666332734,0.07629365484428845,0.15689290811054724,0.7533494332498106,0.13764685299979287,0.4,0.4378817340097107,0.137631332127781,0.6556725875435656,1.0,1.0,0.36125956676089727,0.4016096644512494,0.33409177193234335,0.3281650616569468,0.3607281208661181,0.40032038451271784
6,Basidiomycota,0.05018856132284956,0.11909826683508273,,,,,0.0553001263609331,0.048795003647426664,0.06917144638660747,0.06835859270246632,0.11203705304599067,0.5127979211108686,0.03384487217112064,,0.03845442846268641,0.039866273604864964,0.06611073566849314,,0.021147746721890678,0.014103170678669133,0.029854071701326604,0.030290863552009533,0.036973693332326786,0.08964214570007951,0.08019714011035982,0.05815657441501209,0.0504593792045994,0.0910117164442056,,0.07346475455558335,0.046880723093849545,0.056912041127446945,0.06891593664900357,0.04959863506434429,0.05364417807858201,0.061138212998564714,0.045899254602157845,0.03445818366190543,0.10235867909024106,0.06793662204867575,0.07010257350208896,,0.044721359549995794,0.06651901052377393,,,,0.17381449986274955,0.07130740328122925,0.05679618342470648,0.09545479198066953,0.09607689228305229,0.07312724241271307,0.12659242088545833
7,Blastocladiomycota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011866980908481739,,,,,,0.010896634440402259,,,,,0.044721359549995794,,,,,,0.08233869695926183,0.05679618342470648,,,,
8,Brachiopoda,,,,0.06516352124510746,,,,,,,,,,,,,,,,,,,,0.01494035761667992,0.014892235053625675,,,,,,,,,,,0.007642276624820589,,,,,,0.028097046212448046,0.07745966692414834,0.10160946695958605,0.028093878027715367,0.03946685189819292,,,0.058222250973958195,0.05679618342470648,0.0674967307062827,,,
9,Bryozoa,0.0869291381699617,,,0.04607756775840914,0.07516460280028288,,,,,,,,,,,0.030880282749398066,,,,,0.03500700210070024,0.042837750051244745,0.026144349280800106,0.057863756235784464,0.07880230083562437,,0.0504593792045994,,,,,0.16698322282399955,0.17064981637851606,0.2805722495327577,0.04645722098118832,0.05510924046414101,0.052999894000318,0.03614004791647857,,0.03922322702763681,0.071156806696482,,,0.038404768632128425,,,,,,,,,,
10,Cercozoa,0.19437946217350605,0.14586499149789456,0.23791547571544325,0.25237723256253436,0.15944820103582016,0.0827605888602368,0.039103094350288754,0.12909944487358055,0.09782319760890369,0.26475169110682795,0.20455073743230656,0.08435776067342773,0.10702688317798925,0.07980868844676221,0.06520265578660595,0.04181210050035454,0.05913123959890826,0.0455802844097073,0.032303716710272753,0.024427408163270582,0.20466920399990238,0.22919197137572206,0.22490219640861447,0.2596357338382263,0.2754057069002267,0.18390723606451267,0.1954283353193783,0.23922565845379254,0.31622776601683794,0.24679909203093464,0.36913918278033864,0.1631440148511402,0.15691374146236375,0.09279054963120441,0.12144217323009714,0.12534265615011156,0.09179850920431569,0.10731940312167591,0.11819362185329038,0.15191090506255,0.10568360597488173,0.02374633815175422,0.20976176963403032,0.17599275930399416,0.02374366054694763,0.06835859270246632,0.04920678313051229,0.07773220743364717,0.19744125923286052,0.15026857675938213,0.08266627476821893,0.18397324220155997,0.16351748504193214,0.17902871850985821
11,Chaetognatha,,,,,,,,,,,,,0.06768974434224127,,0.027191387132618546,0.047170411060251896,,,0.04568435428672611,0.034545571918120514,0.021110016546037454,,,0.053868225460708415,0.025794107751137895,0.02374232208416312,0.056415301001961765,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Chlorophyta,0.10037712264569912,0.11909826683508273,,0.09215513551681828,0.14062009564580388,0.2617119612951068,0.19938744113398213,0.12909944487358055,,0.18085983626508062,0.11203705304599067,,0.2911445990374589,0.2718185981835521,0.08598671607846956,0.06670903506412208,0.5483605572060236,0.5848976518656018,0.07223330649006576,0.04308589811592201,0.13962963488318447,0.1588466285603117,0.26404498467170373,0.19820624179302296,0.16979760432943938,0.34323876865989544,0.34316087907022863,0.19403763142658323,0.282842712474619,0.15208649083304218,0.16239958858823003,0.15197150616050462,0.13828452434669172,0.4984601133740254,0.15868161870584732,0.16283609542317928,1.0,0.2064617507526904,0.6677329462769195,0.7400623674341965,0.17726305065866402,0.05816641173138281,0.11832159566199232,0.1273742077131806,0.05718230682456182,0.20124224796896215,0.19057705158491414,0.29599542741630236,0.13018891098082386,0.13912166872805048,0.1262748205151271,0.11094003924504582,0.11170370790654759,0.1386750490563073
13,Chordata,0.05018856132284956,0.08421519210665189,,,0.13018891098082386,0.05852057359806528,0.039103094350288754,0.048795003647426664,0.09782319760890369,,0.11203705304599067,0.36025895276373765,0.18844027313890302,0.16740811720763832,0.1974888564674865,0.2388651916538961,0.32522181779399545,0.3102585821724104,0.21253222422196835,0.1282277361461953,0.10013360059397863,0.08014209195600784,0.13585002385551787,0.17550946250436594,0.14049306451005658,0.17925060084430391,0.17840084605017847,0.0776150525706333,,0.06208904988523744,0.09944903161976938,0.23193800919001434,0.21793132689472328,0.380974344824575,0.048970210687439175,0.038211383124102945,0.079499841000477,0.07705084104919317,0.07629365484428845,0.05547001962252291,0.05031546054266276,0.01061968526480383,0.08944271909999159,0.2924820040854895,0.010618487803530948,0.06835859270246632,,0.054964970992931274,,,0.047727395990334764,0.05547001962252291,0.11170370790654759,0.14978617237881953
14,Chytridiomycota,0.05018856132284956,0.08421519210665189,,0.06516352124510746,,,0.07820618870057751,0.12909944487358055,,,0.15844431990595387,,0.07567943486441663,0.03569153051241248,,0.028189712406638288,0.02956561979945413,,0.034534125785498526,0.023030381278747007,0.040879371260483036,0.054607630857426814,0.06917144638660747,0.0668153104781061,0.055721641293972335,0.07122696625248935,0.0756890688068991,0.061360086709227,,0.09618794247494646,0.05741692517632146,0.05566107427466651,0.06324160072683319,0.035071531191594715,0.01896608104527204,0.02647362279937051,,0.039288374204857195,0.06823911939349404,0.08770580193070292,0.012203291671705663,,0.10954451150103323,,,0.03946685189819292,,,0.1089238577156585,0.05679618342470648,0.047727395990334764,0.05547001962252291,0.05970814340265321,0.12659242088545833
15,Ciliophora,0.2354052189915582,0.23819653367016547,,0.18431027103363656,0.21259760138109354,0.1013606067599229,0.19938744113398213,0.09759000729485333,0.309344112444873,0.13671718540493263,0.09147787074926965,,0.19442398845107403,0.1471599502426323,0.12826151658178506,0.12732266752470717,0.11450715310358611,0.12059409723568,0.14186339772328768,0.0846190240720148,0.19057563612324363,0.16728676172715226,0.3048928859567575,0.17866069197543946,0.18540683120728801,0.26756238143545846,0.24067589951215193,0.17355253362515582,,0.1442819137124197,0.13667962057789992,0.3343878545798613,0.2585858497091271,0.16819715485949524,0.31508820279338984,0.36818011061959605,0.28294200779538003,0.22569452690043085,0.3722004542099407,0.39613517506411483,0.26144680219835703,0.018393834439030782,0.22803508501982758,0.184182800051493,0.01839176037526605,0.1308967394028317,0.12053151055354618,0.10992994198586255,0.1697455723193801,0.11359236684941296,0.10672170182343944,0.14675987714106856,0.15797289868880232,0.1386750490563073
16,Cnidaria,0.05018856132284956,0.25264557631995566,0.09712858623572641,0.07980868844676221,0.09205746178983233,0.05852057359806528,0.039103094350288754,0.08451542547285165,0.13834289277321493,,0.09147787074926965,0.0758996644572545,0.06768974434224127,,0.09990753581009343,0.18952210115898815,0.05120915564991892,0.07443229275647868,0.08546760083846326,0.060386169154705176,0.26260555131093977,0.22000010426547698,0.15902986818428008,0.10350983390135313,0.11044377107417173,0.1007301416809612,0.10704050763010708,0.12871000373025,,0.11106826896141314,0.09376144618769909,0.17359896450960127,0.16917866982042898,0.14879590519303285,0.05136039026574273,0.0576979232259352,0.079499841000477,0.10394726756209716,0.07629365484428845,0.12403473458920845,0.34451342661339407,0.018393834439030782,0.14832396974191325,0.1273742077131806,0.01839176037526605,0.07893370379638584,,0.054964970992931274,,0.11359236684941296,0.047727395990334764,0.05547001962252291,0.10341753799900383,0.09805806756909202
17,Cryptomycota,,,,,,,,,,,,,0.04786387724118254,,0.023548432020984965,,,,,0.011515190639373504,0.010555008273018727,0.010709437512811186,0.036973693332326786,0.021128856368212913,0.03647837701097219,0.03357671389365373,0.0252296896022997,,,0.03926856307863329,,,,,0.01095007199696007,,,0.026691194292623246,,,,,,,,,,,,,0.10672170182343944,,,
18,Ctenophora,,,,,,,,,,,,,0.03384487217112064,,,0.01260682264148248,,,,,0.10502100630210073,0.09756761913046262,0.15244644297837875,0.01494035761667992,,,,,,,,0.011866980908481739,0.011179641181758961,,,0.010807811250228158,,0.010896634440402259,0.03411955969674702,,0.029891837778034402,,,,,,,,,,,,,
19,Discosea,,,0.09712858623572641,,,,,,0.06917144638660747,,,,,0.05047544651250688,,,0.02956561979945413,,,0.00814246938775686,0.010555008273018727,0.015145431776004767,0.036973693332326786,,0.021060800786885447,,,,,0.04809397123747323,,0.02055421386594025,0.022359282363517922,,0.01095007199696007,0.007642276624820589,,,,,0.04047373968231659,,,,,,,,,,,,,
20,Echinodermata,0.05018856132284956,,,,,,,,,,,,,,0.03597082407789518,0.03565747911603346,,,0.017267062892749263,0.014103170678669133,,,,0.01494035761667992,,,,,,0.027767067240353285,,0.06817061525404412,0.07745482614878355,0.04959863506434429,0.02190014399392014,,,,,,,,,,,,,,,,,,0.05970814340265321,
